Position,Track Name,Artist,Streams,ID,startingDate
1,Despacito - Remix,Luis Fonsi,47412236,5CtI0qwDJkDQGwXD1H1cLb,2017-06-16
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,31665097,1jYiIOC5d6soxkJP81fxq2,2017-06-16
3,2U (feat. Justin Bieber),David Guetta,29788471,3A7qX2QjDlPnazUsRk5y0M,2017-06-16
4,Shape of You,Ed Sheeran,26518694,7qiZfU4dY1lWllzX7mPBI3,2017-06-16
5,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,25477718,1OAh8uOEOvTDqkKFsKksCi,2017-06-16
6,Unforgettable,French Montana,23320818,1F2HXIJrE2Xn81OzT2zZvW,2017-06-16
7,Attention,Charlie Puth,22647142,4iLqG9SeJSnt0cSPICSjxv,2017-06-16
8,HUMBLE.,Kendrick Lamar,21826332,7KXjTSCq5nL1LoYtL7XAwS,2017-06-16
9,Strip That Down,Liam Payne,20433428,6EpRaXYhGOB3fj4V2uDkMJ,2017-06-16
10,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,20072364,6kex4EBAj0WHXDKZMEJaaF,2017-06-16
11,There's Nothing Holdin' Me Back,Shawn Mendes,19383733,79cuOz3SPQTuFrp8WgftAu,2017-06-16
12,Despacito (Featuring Daddy Yankee),Luis Fonsi,19085403,4aWmUDTfIPGksMNLV2rQP2,2017-06-16
13,XO TOUR Llif3,Lil Uzi Vert,18673473,2eMwDehkIC1j68U6FA3Eiq,2017-06-16
14,Mama,Jonas Blue,18280885,4xlrALxuaCf9yZBHJeTSG6,2017-06-16
15,Something Just Like This,The Chainsmokers,17773169,6RUKPb4LETWmmr3iAEQktW,2017-06-16
16,Thunder,Imagine Dragons,17646683,0tKcYR2II1VCQWT79i5NrW,2017-06-16
17,Stay (with Alessia Cara),Zedd,16895622,0dA2Mk56wEzDgegdC6R17g,2017-06-16
18,There for You,Martin Garrix,16734450,6jA8HL9i4QGzsj6fjoxp8Y,2017-06-16
19,Symphony (feat. Zara Larsson),Clean Bandit,16632601,1x5sYLZiu9r5E43kMlt9f8,2017-06-16
20,Mask Off,Future,15173834,3rOSwuTsUlJp0Pu0MkN8r8,2017-06-16
21,That's What I Like,Bruno Mars,15070436,0KKkJNfGyhkQ5aFogxQAPU,2017-06-16
22,It Ain't Me (with Selena Gomez),Kygo,14978109,3eR23VReFzcdmS7TYCrhCe,2017-06-16
23,Malibu,Miley Cyrus,14919832,2habSXqcJGExM6JJyskY7O,2017-06-16
24,Congratulations,Post Malone,14870584,3a1lNhkSLSkpJE4MSHpDu9,2017-06-16
25,Felices los 4,Maluma,14825507,0qYTZCo5Bwh1nsUFGZP3zn,2017-06-16
26,Bad Liar,Selena Gomez,14810514,1sCxVKWImDZSZKvG0U9B23,2017-06-16
27,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,14636273,1NDxZ7cFAo481dtYWdrUnR,2017-06-16
28,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,14335836,6BaCraQ9xeLYg4Sb9TBT2X,2017-06-16
29,No Promises (feat. Demi Lovato),Cheat Codes,13221459,1louJpMmzEicAn7lzDalPW,2017-06-16
30,Me Rehúso,Danny Ocean,12934387,6De0lHrwBfPfrhorm9q1Xl,2017-06-16
31,Slow Hands,Niall Horan,12798653,167NczpNbRF7oWakJaY3Hh,2017-06-16
32,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,12664099,3Ytr1SUCUi6J3L9dRFx5iH,2017-06-16
33,SUBEME LA RADIO,Enrique Iglesias,12599248,7nKBxz47S9SD79N086fuhn,2017-06-16
34,First Time,Kygo,12335650,2Gl0FzuLxflY6nPifJp5Dr,2017-06-16
35,More Than You Know,Axwell /\ Ingrosso,12161885,4q8PHoRsPUB52LFylX8Ulz,2017-06-16
36,Believer,Imagine Dragons,12051906,0CcQNd8CINkwQfe1RDtGV6,2017-06-16
37,Your Song,Rita Ora,11852194,4c2W3VKsOFoIg2SFaO6DY5,2017-06-16
38,Redbone,Childish Gambino,11821969,3kxfsdsCpFgN412fpnW85Y,2017-06-16
39,Crying in the Club,Camila Cabello,11780696,1SJtlNRJDeYHioymcvsqev,2017-06-16
40,Slide (feat. Frank Ocean & Migos),Calvin Harris,11582375,6gpcs5eMhJwax4mIfKDYQk,2017-06-16
41,Galway Girl,Ed Sheeran,11178719,0afhq8XCExXpqazXczTSve,2017-06-16
42,Now Or Never,Halsey,11085194,0Nhu3zSYbEz32IYiobV75e,2017-06-16
43,Passionfruit,Drake,10732447,7hDc8b7IXETo14hHIHdnhd,2017-06-16
44,1-800-273-8255,Logic,10629296,5tz69p7tJuGPeMGwNTxYuV,2017-06-16
45,Sign of the Times,Harry Styles,10602201,5Ohxk2dO5COHF1krpoPigN,2017-06-16
46,Swish Swish,Katy Perry,10192572,2kVHAQKVtczchKctctzbtK,2017-06-16
47,Location,Khalid,10121160,152lZdxL1OR0ZMW6KquMif,2017-06-16
48,Issues,Julia Michaels,10033492,1sXUWdKx03aP9Gmzft58rt,2017-06-16
49,DNA.,Kendrick Lamar,9869669,6HZILIRieu8S0iqY8kIKhj,2017-06-16
50,Escápate Conmigo,Wisin,9850769,2cnKEkpVUSV4wnjQiTWfH6,2017-06-16
51,Ahora Dice,Chris Jeday,8609000,22eADXu8DfOAUEDw4vU8qy,2017-06-16
52,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,7862282,5knuzwU65gJK7IF5yJsuaW,2017-06-16
53,Rollin (feat. Future & Khalid),Calvin Harris,7829911,3FDrI0FLKzrYQiWxPhqV2W,2017-06-16
54,Most Girls,Hailee Steinfeld,7758527,2mfUa8bLs2s5N4VaqJZ4lZ,2017-06-16
55,Scared to Be Lonely,Martin Garrix,7724845,3ebXMykcMXOcLeJ9xZ17XH,2017-06-16
56,OK,Robin Schulz,7687535,3bWAqKDWg6u1davspr5IkS,2017-06-16
57,iSpy (feat. Lil Yachty),KYLE,7660408,2EEeOnHehOozLq4aS0n6SL,2017-06-16
58,Hey DJ,CNCO,7569975,209gZgcfLq2aUuu51vOWBl,2017-06-16
59,Down,Fifth Harmony,7275100,7LEydI5NfjY6mZfKwYIptZ,2017-06-16
60,Magnolia,Playboi Carti,7256765,1e1JKLEDKP7hEQzJfNAgPl,2017-06-16
61,goosebumps,Travis Scott,7244527,6gBFPUFcJLzWGx4lenP6h2,2017-06-16
62,The Cure,Lady Gaga,7232251,51PIvodunv6NmX5250zxAh,2017-06-16
63,El Amante,Nicky Jam,7224896,3umS4y3uQDkqekNjVpiRUs,2017-06-16
64,Say You Won't Let Go,James Arthur,7128128,5uCax9HTNlzGybIStD3vDh,2017-06-16
65,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,6979452,3NdDpSvN911VPGivFlV5d0,2017-06-16
66,Closer (feat. Halsey),The Chainsmokers,6961632,7BKLCZ1jbUBVqRi2FVlTVw,2017-06-16
67,Green Light,Lorde,6872499,0gbBzIqrECJOEPvQJIBFs5,2017-06-16
68,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,6872131,2Vdub5mY4lad7w64bFPUez,2017-06-16
69,I Feel It Coming,The Weeknd,6723505,5GXAXm5YOmYT0kL5jHvYBt,2017-06-16
70,Tuesday,Burak Yeter,6710754,7abpmGpF7PGep2rDU68GBR,2017-06-16
71,Body Like A Back Road,Sam Hunt,6487090,7mldq42yDuxiUNn08nvzHO,2017-06-16
72,Slippery (feat. Gucci Mane),Migos,6358453,6p8NuHm8uCGnn2Dtbtf7zE,2017-06-16
73,Paris,The Chainsmokers,6312708,72jbDTw1piOOj770jWNeaG,2017-06-16
74,Me Enamoré,Shakira,6296144,4qknM1pQz53QOyfDVTjcM9,2017-06-16
75,Solo Dance,Martin Jensen,6209500,6HUnnBwYZqcED1eQztxMBN,2017-06-16
76,LOVE. FEAT. ZACARI.,Kendrick Lamar,6189497,6PGoSes0D9eUDeeAafB2As,2017-06-16
